point_id,lat,lon,label,elevation,slope,aspect,curvature,NDVI,rainfall,competency_index,FS
141,30.406332230963766,79.87942677163475,0,4356,32.020240783691406,10.375398635864258,15.0,0.110992011411064,1270.051110982895,0.3799999952316284,1.2708414789453395
142,30.546476361025377,79.79079942477546,0,2856,28.167722702026367,204.9157257080078,40.0,0.5749849169691514,1077.0035147666931,0.3799999952316284,1.4866149319388993
143,30.02497166211705,79.81282794133092,0,2827,33.099735260009766,71.16650390625,-13.0,0.5406116499514129,1409.3023550510406,0.5799999833106995,1.4853453435368844
144,30.6594,79.5605,1,3113,63.19977569580078,288.1032409667969,-16.0,0.5946644121929456,1030.4927968978882,0.3799999952316284,0.7532963242025427
145,30.39245818622948,79.73720148229347,0,4094,65.15547943115234,321.9043884277344,-74.0,0.823555166374782,1185.7103717327118,0.3799999952316284,0.7481990489259905
146,30.2414,78.908,1,1004,42.58560562133789,320.8022766113281,26.0,0.7264605849897968,1238.4156322479248,0.44999998807907104,1.0479791489069596
147,30.42,79.42,1,1297,14.702216148376465,308.0932922363281,17.0,0.5592121795038428,1293.257737159729,0.5799999833106995,3.3488294724036005
148,30.76190181260487,79.84384211507897,0,4125,44.347259521484375,57.9980583190918,-36.0,0.335462206403089,802.0009088516235,0.3799999952316284,0.9751647246492943
149,30.6463,79.5306,1,2205,37.53942489624024,18.561464309692383,13.0,0.7862412476414463,1314.1456413269043,0.3799999952316284,1.0772651235583681
150,30.51744635175504,78.76618297568605,0,1636,21.6766357421875,250.9852752685547,17.0,0.7261565129464448,1591.0075759887695,0.3799999952316284,1.7996494113657906
151,30.1454,78.6007,1,603,33.4844970703125,334.883056640625,-16.0,0.6635001904117125,1428.5545790195465,0.5799999833106995,1.46586593149405
152,30.37638753773448,79.44106326871147,0,1254,37.29834747314453,357.1761169433594,33.0,0.6310654116643005,1284.074832201004,0.5799999833106995,1.3496301506273993
153,30.232858556876096,78.85586292938015,0,978,33.62070846557617,119.13763427734376,73.0,0.5067893252667595,1230.8366441726685,0.44999998807907104,1.313614385889756
154,30.742,78.4543,1,1251,39.45325469970703,79.80317687988281,-23.0,0.6234273817876492,1797.9834294319153,0.44999998807907104,1.0481921339977416
